"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000144320",2028.04172471135,1.45926758765987,0.139629599736692,10.4509902657581,1.45003192333602e-25,1.18032598559552e-23
"ENSG00000111335",229.411206947211,-2.28226490177038,0.218407604266975,-10.4495670351322,1.47195659461314e-25,1.1911658103074e-23
"ENSG00000042980",133.755752920913,3.07815285362988,0.296688320080779,10.3750388717419,3.22081277931168e-25,2.59125623489041e-23
"ENSG00000069206",507.424348229042,1.78980366610368,0.17286433767509,10.3538051293595,4.02176734843291e-25,3.2169489345442e-23
"ENSG00000108960",696.10083195274,1.50378524565099,0.145604897269729,10.3278479903411,5.27302913993184e-25,4.19357340450442e-23
"ENSG00000104691",545.691367066973,-1.59707926353516,0.154950661102223,-10.3070180673933,6.55022214340043e-25,5.15011216024859e-23
"ENSG00000228253",22570.528103511,-1.18133780859199,0.114611376809799,-10.3073345899374,6.52869028411151e-25,5.15011216024859e-23
"ENSG00000087301",873.094777594593,1.44475542408381,0.140181740560556,10.3063025063504,6.59915879876568e-25,5.15927454561127e-23
"ENSG00000008394",6819.49337779944,-1.04526225632571,0.101516942724541,-10.296431593315,7.31236708107364e-25,5.68474919482568e-23
"ENSG00000080709",801.823720631187,1.46001391978984,0.142355981492913,10.256077085616,1.11130057637715e-24,8.59116054519941e-23
"ENSG00000198899",143725.843828939,-1.06902091765148,0.105224052441775,-10.1594729802202,3.00697423333054e-24,2.31169496893489e-22
"ENSG00000197016",1142.37408723844,1.47633465162709,0.145495280620441,10.1469590307775,3.41849655114496e-24,2.61354449031734e-22
"ENSG00000113389",117.859585742661,3.10200269149244,0.306136316161164,10.1327497841171,3.95371580950122e-24,3.00612743801527e-22
"ENSG00000014257",408.194139813581,-1.77588911780342,0.175496418652775,-10.1192328107679,4.53959876344455e-24,3.43273047478392e-22
"ENSG00000165175",4137.79093394741,-1.06670326822914,0.10572755922264,-10.0891695228005,6.16892039686108e-24,4.63943045933498e-22
"ENSG00000077616",211.570339608877,2.48888740167221,0.246958222034053,10.0781718509822,6.89978962083535e-24,5.16104263638484e-22
"ENSG00000188994",1112.88280198827,1.45556823719357,0.144597102611604,10.0663720842547,7.77949058215019e-24,5.787773692247e-22
"ENSG00000188322",550.969032661303,1.58341553047987,0.158270698742712,10.0044767797096,1.45659614155728e-23,1.07214773440796e-21
"ENSG00000254726",1130.03336968346,1.28036318562437,0.127979014713107,10.00447759732,1.4565841102217e-23,1.07214773440796e-21
"ENSG00000160179",550.501474842716,1.70700826848078,0.170653398077802,10.0027792455826,1.48178917884955e-23,1.08492056385821e-21
"ENSG00000187325",1849.09487034897,-1.24036689679687,0.124045449839347,-9.9992937943575,1.53487700734846e-23,1.117875159352e-21
