"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000150455",256.914916273613,279.990759094132,385.937215531191,336.709044412972,226.912171609166,324.559817526543,313.37412676322,302.348183147298
"ENSG00000150456",149.867034492941,160.815205223296,172.38162969672,225.787965980053,126.062317560648,135.530473252842,143.256743663186,131.017546030496
"ENSG00000150457",191.588260212588,195.754223024786,161.401908059986,163.970289857359,448.781850515906,445.823925173823,417.832169017627,447.923234292293
"ENSG00000150459",2124.48873072411,2201.15812149387,3028.20722741117,3234.24820395116,1546.78463646915,1451.60270036597,1641.48352114068,1443.43262250691
"ENSG00000150471",0,1.43585004663657,2.74493040918344,3.06896264438907,34.0368257413749,64.1986452250305,50.7367633807119,44.7923234292293
"ENSG00000150477",198.175822168321,169.430305503116,213.555585834472,198.167302180551,301.288938969948,249.661398097341,211.900600001797,206.044687774455
"ENSG00000150510",75.7569624909372,91.4157863025284,47.2128030379551,49.9802487800505,132.36543343868,103.431150640327,95.5044957754577,108.621384315881
"ENSG00000150527",823.445244466709,848.108760880002,1103.46202449174,1027.22563940051,1089.178423724,1002.21218379075,1187.83716620725,1038.06209547239
"ENSG00000150540",2.7448174815557,2.39308341106095,2.19594432734675,2.63053940947634,118.498578507009,96.2979678375458,122.365135212305,123.178889430381
"ENSG00000150551",0,0,0.548986081836688,0,1132.03961169462,973.67945257963,787.912090147526,713.317750610477
"ENSG00000150556",18.1157953782676,8.61510027981943,9.33276339122369,12.2758505775563,2.52124635121295,0,2.98451549298305,10.0782727715766
"ENSG00000150593",6495.3360883534,6220.58101871184,5875.79803389807,6237.44736310332,602.577877939896,534.988710208588,447.677323947458,487.116517292869
"ENSG00000150594",2600.44008202587,2439.98784591775,86.19081484836,118.812696661348,1.26062317560648,7.13318280278117,2.98451549298305,2.23961617146146
"ENSG00000150625",0,0,1.64695824551006,0.438423234912724,18.9093476340972,39.2325054152964,17.9070929578983,24.6357778860761
"ENSG00000150627",13.7240874077785,18.6660506062754,38.9780118104048,28.497510269327,60.5099124291109,57.0654624222494,92.5199802824746,100.782727715766
"ENSG00000150628",18.1157953782676,18.1874339240632,19.2145128642841,13.1526970473817,31.5155793901619,24.9661398097341,2.98451549298305,6.7188485143844
"ENSG00000150630",0,0.478616682212191,0,0,970.679845216987,870.248301939303,411.863138031661,520.710759864791
"ENSG00000150636",20.8606128598233,19.1446672884876,31.2922066646912,30.6896264438907,277.337098633425,221.128666886216,214.88511549478,208.284303945916
"ENSG00000150637",0.548963496311139,0,3.29391649102013,1.31526970473817,15.1274781072777,17.8329570069529,11.9380619719322,6.7188485143844
"ENSG00000150656",12.6261604151562,16.2729671952145,9.33276339122369,9.2068879331672,0,0,2.98451549298305,1.11980808573073
"ENSG00000150667",199.822712657255,179.002639147359,129.011729231622,102.591036969577,20.1699708097036,7.13318280278117,11.9380619719322,14.5575051144995
"ENSG00000150672",665.343757529101,681.071538787947,269.552166181814,225.34954274514,114.716708980189,128.397290450061,125.349650705288,128.777929859034
"ENSG00000150676",345.298039179707,274.725975589797,122.423896249581,136.349626057857,1.26062317560648,0,0,3.3594242571922
"ENSG00000150687",115.282334225339,131.619587608352,241.553876008143,219.211617456362,17.6487244584907,7.13318280278117,2.98451549298305,14.5575051144995
"ENSG00000150712",1442.12710480936,1485.62618158664,1539.35697347007,1463.01833490376,2062.3795152922,2157.7877978413,1862.33766762142,1984.29992791486
"ENSG00000150722",2.19585398524456,3.35031677548533,6.58783298204025,5.69950205386541,51.6855501998656,35.6659140139059,29.8451549298305,26.8753940575376
"ENSG00000150750",1.09792699262228,2.87170009327314,3.29391649102013,2.63053940947634,0,0,0,0
"ENSG00000150753",7045.39751165716,7464.98439246354,9303.11814280451,8593.97225075921,11098.5264380394,10025.6884293089,11854.4955381287,11602.3315762561
"ENSG00000150756",378.784812454686,405.866946515938,379.898368630988,413.433110522699,278.597721809031,238.961623893169,280.544456340407,297.868950804375
"ENSG00000150760",1047.97131445796,984.514515310476,1063.38604051766,924.196179196022,942.946135353645,688.352140468383,737.175326766814,673.00465952417
"ENSG00000150764",187.196552242099,163.208288634357,170.185685369373,152.132862514715,313.895170726013,306.72686051959,393.956045073763,480.397668778484
"ENSG00000150768",2029.51804586228,2003.01081505802,2214.6098541292,1922.48588509229,1680.41069308343,1419.50337775345,1716.09640846525,1695.38944179633
"ENSG00000150773",80.6976339577375,82.3220693404968,99.9154668942772,77.1624893446394,39.0793184438008,39.2325054152964,41.7832169017627,36.9536668291142
"ENSG00000150776",1662.26146683013,1640.69798662339,2140.49673308125,1767.7224831681,1432.06792748896,1401.6704207465,1411.67582818098,1382.96298587745
"ENSG00000150779",634.601801735677,669.106121732643,844.889579946662,1098.25020345637,398.356923491647,452.957107976604,519.305695779051,453.522274720947
"ENSG00000150782",0.548963496311139,1.91446672884876,4.94087473653019,5.26107881895269,757.634528539493,527.855527405807,617.794707047492,687.56216463867
"ENSG00000150787",545.120751836961,545.623017721897,726.857572351775,708.053524384049,137.407926141106,139.097064654233,161.163836621085,135.496778373419
"ENSG00000150867",591.233685527097,600.663936176299,670.312005922596,604.147217709733,185.311606814152,121.26410764728,179.070929578983,227.321041403339
"ENSG00000150873",3.29378097786684,0.957233364424381,3.29391649102013,2.19211617456362,3.78186952681943,0,0,4.47923234292293
"ENSG00000150893",0,0,1.09797216367338,0.876846469825448,68.0736514827498,57.0654624222494,110.427073240373,115.340232830265
"ENSG00000150907",271.736930674014,298.178193018195,298.099442437321,270.068712706238,134.886679789893,160.496613062576,131.318681691254,181.408909888379
"ENSG00000150938",148.220144004008,124.44033737517,159.205963732639,167.916098971573,3044.40496908964,2756.97515327492,2017.53247325654,2206.02192888954
"ENSG00000150961",1481.10351304745,1407.13304570384,1529.47522399701,1324.03816943643,2175.83560109678,2157.7877978413,972.952050712475,1146.68347978827
"ENSG00000150967",112.537516743784,127.312037468443,97.1705364850937,126.265891654864,74.3767673607822,89.1647850347646,92.5199802824746,91.8242630299201
"ENSG00000150977",317.300900867838,299.135426382619,183.91033741529,238.502239792522,25.2124635121295,10.6997742041718,53.7212788736949,35.8338587433834
"ENSG00000150990",509.987088073048,570.032468514719,463.344253070164,460.782819893273,438.696865111054,324.559817526543,483.491509863254,430.006304920601
"ENSG00000150991",3834.51002173331,3871.53034241441,3332.34551674869,4358.8038015023,98.3286076973052,114.130924844499,95.5044957754577,113.100616658804
"ENSG00000150995",670.833392492212,696.86588930095,575.337413764849,463.413359302749,1730.83562010769,1533.63430259795,316.358642256203,323.624536776182
"ENSG00000151005",0,0,0.548986081836688,0,0,0,2.98451549298305,0
"ENSG00000151006",141.632582048274,137.362987794899,70.270218475096,59.6255599481304,136.1473029655,178.329570069529,71.6283718315932,80.6261821726127
"ENSG00000151012",994.721855315784,849.065994244426,2122.38019238063,2156.60389253569,424.830010179383,246.09480669595,796.865636626475,779.38642766859
"ENSG00000151014",95.5196483581382,105.774286768894,132.305645722642,116.182157251872,307.59205484798,353.092548737668,235.776723945661,190.367374574225
"ENSG00000151023",19.762685867201,21.5377506995486,30.7432205828545,24.1132779201998,10.0849854048518,21.3995484083435,17.9070929578983,10.0782727715766
"ENSG00000151025",5222.83870390418,5742.92156986408,4283.73839657167,3248.71617070328,5.04249270242591,7.13318280278117,11.9380619719322,12.3178889430381
"ENSG00000151062",6.03859845942253,2.87170009327314,2.19594432734675,1.7536929396509,30.2549562145555,14.2663656055623,17.9070929578983,31.3546264004605
"ENSG00000151065",783.919872732307,749.513724344291,884.965563920741,781.270204614474,302.549562145555,353.092548737668,408.878622538678,445.683618120832
"ENSG00000151067",6.03859845942253,6.70063355097067,1.09797216367338,3.94580911421451,16.3881012828842,28.5327312111247,14.9225774649153,13.4376970287688
"ENSG00000151079",1.09792699262228,0,0.548986081836688,0.876846469825448,0,0,2.98451549298305,0
"ENSG00000151090",1641.40085397031,1675.15838774267,1904.43271789147,1650.22505621149,567.280429022915,427.99096816687,310.389611270237,434.485537263524
"ENSG00000151092",937.080688203115,918.944029847406,1036.48572250767,890.437590107742,2759.50413140258,2575.078991804,1775.78671832492,1679.7121285961
"ENSG00000151093",548.963496311139,531.743133937744,516.595903008323,489.2803301626,566.019805847308,549.25507581415,217.869630987763,259.79547588953
"ENSG00000151116",1700.1399480756,1618.68161924163,1525.08333534232,1305.18597033518,1796.38802523923,1622.79908763272,1101.28621691075,1117.56846955927
